Taxon	microhab_pel	microhab_arg	microhab_psa	microhab_aka	microhab_mil	microhab_mal	microhab_hpe	microhab_alg	microhab_mph	microhab_pom	microhab_woo	microhab_mad	microhab_oth	current_lib	current_lip	current_lrp	current_rlp	current_rhp	current_rhb	current_ind	temp_vco	temp_cod	temp_mod	temp_war	temp_eut	pH_aci	pH_neu	pH_ind	sapro_xeno	sapro_oligo	sapro_beta	sapro_alpha	sapro_poly	feedingtype_gra	feedingtype_min	feedingtype_xyl	feedingtype_shr	feedingtype_gat	feedingtype_aff	feedingtype_pff	feedingtype_pre	feedingtype_par	feedingtype_other
SPHAERIIDAE																																											
Musculium lacustre																1														1	4	5							10				
Musculium transversum																																							10				
Pisidium amnicum																		1												3	6	1							10				
Pisidium casertanum casertanum																1													1	3	3	3							10				
Pisidium casertanum ponderosum																1														2	8								10				
Pisidium conventus														1																10									10				
Pisidium crassum																																											
Pisidium globulare																																											
Pisidium henslowanum																	1													1	6	3							10				
Pisidium hibernicum																1														8	2								10				
Pisidium hinzi																																											
Pisidium lilljeborgii														1																10									10				
Pisidium milium															1															1	8	1							10				
Pisidium moitessierianum																	1														7	3							10				
Pisidium nitidum																	1													2	5	3							10				
Pisidium obtusale															1															4	5	1							10				
Pisidium personatum																	1													4	4	2							10				
Pisidium pseudosphaerium														1																10									10				
Pisidium pulchellum																1																								10			
Pisidium subtilestriatum																																											
Pisidium subtruncatum																	1													2	4	4							10				
Pisidium supinum																		1													7	3							10				
Pisidium tenuilineatum																	1													8	2								10				
Pisidium waldeni																																											
Sphaerium corneum																1														1	5	4							10				
Sphaerium nucleus																																							10				
Sphaerium ovale																																							10				
Sphaerium radiatum																																											
Sphaerium rivicola																		1													8	2							10				
Sphaerium solidum																		1												5	5								10				
Sphaerium subsolidum																																											
TELLINIDAE																																											
Macoma balthica																																											
UNIONIDAE																																											
Anodonta anatina																	1													2	4	4							10				
Anodonta cygnea															1															3	4	3							10				
Microcondylaea compressa																																											
Potomida littoralis																																											
Pseudanodonta complanata complanata																	1																						10				
Pseudanodonta complanata elongata																	1																						10				
Pseudanodonta complanata klettii																	1																						10				
Pseudanodonta complanata kuesteri																	1																						10				
Sinanodonta woodiana																															7	3							10				
Unio crassus albensis																		1													7	3							10				
Unio crassus crassus																		1																					10				
Unio crassus cytherea																		1												3	6	1							10				
Unio crassus decurvatus																		1												6	4								10				
Unio crassus riparius																		1																					10				
Unio elongatulus																																											
Unio mancus																																											
Unio pictorum latirostris																1														2	5	3							10				
Unio pictorum pictorum																1																							10				
Unio pictorum platyrhynchus																1														6	4								10				
Unio tumidus depressus																	1														6	4							10				
Unio tumidus tumidus																	1														6	4							10				
Unio tumidus zelebori																	1														6	4							10				
VENERIDAE																																											
Chamelea gallina																																											
Polychaeta																																											
