Taxon	microhab_pel	microhab_arg	microhab_psa	microhab_aka	microhab_mil	microhab_mal	microhab_hpe	microhab_alg	microhab_mph	microhab_pom	microhab_woo	microhab_mad	microhab_oth	current_lib	current_lip	current_lrp	current_rlp	current_rhp	current_rhb	current_ind	temp_vco	temp_cod	temp_mod	temp_war	temp_eut	pH_aci	pH_neu	pH_ind	sapro_xeno	sapro_oligo	sapro_beta	sapro_alpha	sapro_poly	feedingtype_gra	feedingtype_min	feedingtype_xyl	feedingtype_shr	feedingtype_gat	feedingtype_aff	feedingtype_pff	feedingtype_pre	feedingtype_par	feedingtype_other
Tanytarsus inaequalis																																											
Tanytarsus innarensis																																											
Tanytarsus lactescens																																											
Tanytarsus lapponicus																																											
Tanytarsus latiforceps																																											
Tanytarsus lestagei																																											
Tanytarsus longitarsis																																											
Tanytarsus lugens																																											
Tanytarsus mancospinosus																																											
Tanytarsus medius																																											
Tanytarsus mendax																							1	7	2																		
Tanytarsus miriforceps																																											
Tanytarsus multipunctatus																																											
Tanytarsus nemorosus																																											
Tanytarsus niger																																											
Tanytarsus nigricollis																																											
Tanytarsus norvegicus																																											
Tanytarsus occultus																																											
Tanytarsus palettaris																													3	7				1				8	1				
Tanytarsus pallidicornis																				1			1	7	2				1	2	5	2		3				6	1				
Tanytarsus Pe 5a																																											
Tanytarsus pentamerus																																											
Tanytarsus pseudolestagei																																											
Tanytarsus quadridentatus																																											
Tanytarsus recurvatus																																											
Tanytarsus signatus																																											
Tanytarsus sinuatus																													3	7				1				8	1				
Tanytarsus smolandicus																																											
Tanytarsus striatulus																																											
Tanytarsus sylvaticus																																											
Tanytarsus telmaticus																																											
Tanytarsus tika																																											
Tanytarsus usmaensis																																											
Tanytarsus verralli																																											
Tanytarsus volgensis																																											
Thienemanniola ploenensis																																											
Virgatanytarsus albisutus																																											
Virgatanytarsus ansatus																																											
Virgatanytarsus arduennensis																							4	4	2					2	6	2		3				6	1				
Virgatanytarsus triangularis																							4	4	2																		
Zavrelia atrofasciata																																											
Zavrelia pentatoma																																						10					
DIAMESINAE-Tribus Boreoheptagyiini																																											
Boreoheptagyia alpicola																																											
Boreoheptagyia brevitarsis																																											
Boreoheptagyia cinctipes																																											
Boreoheptagyia dasyops																																											
Boreoheptagyia legeri																						4	4		2				4	4	2			9				1					
Boreoheptagyia monticola																					4	4			2																		
Boreoheptagyia rugosa																																		9				1					
Boreoheptagyia sp 3																																											
DIAMESINAE-Tribus Diamesini																																											
Arctodiamesa appendiculata																																											
Diamesa aberrata																					2	6			2				3	4	3			7				2			1		
Diamesa alata																																											
Diamesa arctica																																											
Diamesa bertrami																					3	3	1		3				3	4	3			8				1			1		
Diamesa bohemani																													5	5				7				2			1		
Diamesa cinerella																					1	2	2	1	4				1	4	4	1		7				2			1		
Diamesa confluens																																											
Diamesa dampfi																					7	1			2				1	4	4	1		7				2			1		
Diamesa davisi																																											
Diamesa goetghebueri																					6	2			2				8	2													
Diamesa gregsoni																																											
Diamesa hamaticornis																						2	3	2	3				1	5	3	1		7				2			1		
Diamesa hyperborea																																											
Diamesa incallida																					4	4			2				2	4	4			7				2			1		
Diamesa insignipes																						2	4	1	3			1		2	6	2		6				3			1		
Diamesa kasymovi																																											
Diamesa laticauda																													5	5				8				1			1		
Diamesa latitarsis																					1	4	2		3				3	4	3			8				1			1		
Diamesa lavillei																																											
Diamesa lindrothi																													5	5				8				1			1		
Diamesa longipes																																											
Diamesa macronyx																																											
Diamesa martae																																											
Diamesa modesta																													4	4	2			8				1			1		
Diamesa nowickiana																																											
Diamesa permacra																						1	4	2	3				1	5	4			7				2			1		
Diamesa saetheri																																											
Diamesa serratosioi																																											
Diamesa spinacies																																											
Diamesa starmachi																													1	5	4			7				2			1		
Diamesa steinboecki																					5	3			2				7	2	1			8				1			1		
Diamesa tenuipes																																											
Diamesa thomasi																													2	3	3	2											
Diamesa tonsa																						2	4	1	3				1	3	4	2		6				3			1		
Diamesa vaillanti																					3	5			2				2	3	4	1		7				2			1		
Diamesa valkanovi																																											
Diamesa veletensis																																											
Diamesa wuelkeri																																											
Diamesa zernyi																					1	1	3	1	4				2	3	4	1											
Lappodiamesa vidua																																											
Potthastia gaedii																						1	2	4	3					2	6	2		6				3			1		
Potthastia longimana																						1	2	4	3		1			1	5	4		4				5			1		
Potthastia montium																							4	4	2																		
Potthastia pastoris																																											
Potthastia Pe2																																											
Pseudodiamesa arctica																					9				1																		
Pseudodiamesa branickii																					1	3	1	1	4				1	4	4	1						2			8		
Pseudokiefferiella parva																					5	3			2				1	5	4			8			1	1					
Sympotthastia huldeni																																											
Sympotthastia macrocera																														1	7	2		5				4			1		
Sympotthastia spinifera																																											
Sympotthastia zavreli																						1	5	1	3				2	2	3	2	1										
Syndiamesa edwardsi																																											
Syndiamesa hygropetrica																																											
Syndiamesa nigra																																											
Syndiamesa serratosioi																																											
DIAMESINAE-Tribus Protanypini																																											
Protanypus caudatus																														7	3												
Protanypus forcipatus																														7	3												
Protanypus morio																																											
ORTHOCLADIINAE																																											
Aagaardia protensa																																											
Abiskomyia paravirgo																																											
Abiskomyia virgo																																											
Acamptocladius reissi																																											
Acamptocladius submontanus																																						10					
Acricotopus lucens																1											1											10					
Bavarismittia reissi																																											
Boreosmittia inariensis																																											
Boreosmittia karelioborealis																																											
Brillia bifida																		1				2	4	1	3			1		4	4	2					5	5					
Brillia flavifrons																						1	3	3	3			1		1	3	4	2				5	5					
Brillia longifurca																						1	3	3	3			1															
Brillia pudorosa																																											
Bryophaenocladius aestivus																																		10									
Bryophaenocladius brincki																																											
Bryophaenocladius cuneiformis																																											
Bryophaenocladius dentatus																																											
Bryophaenocladius faegrii																																											
Bryophaenocladius femineus																																											
Bryophaenocladius flexidens																																		10									
Bryophaenocladius furcatus																																											
Bryophaenocladius ictericus																																		10									
Bryophaenocladius illimbatus																																											
Bryophaenocladius inconstans																																		10									
Bryophaenocladius lacunarum																																											
Bryophaenocladius muscicola																											1																
Bryophaenocladius nidorum																																											
Bryophaenocladius nigrus																																											
Bryophaenocladius nitidicollis																																											
Bryophaenocladius novaesemliae																																											
Bryophaenocladius nudisquama																																		10									
Bryophaenocladius pectinatus																																											
Bryophaenocladius propinquus																																											
Bryophaenocladius psilarcus																																											
Bryophaenocladius saanae																																											
Bryophaenocladius scanicus																																											
Bryophaenocladius simus																																											
Bryophaenocladius subvernalis																																		10									
Bryophaenocladius thaleri																																											
Bryophaenocladius tirolensis																																		10									
Bryophaenocladius trigonus																																											
Bryophaenocladius tuberculatus																																											
Bryophaenocladius vernalis																																		10									
Bryophaenocladius xanthogyne																																											
Camptocladius stercorarius																																											10
Cardiocladius capucinus																						1	4	2	3					1	5	4		5							5		
Cardiocladius freyi																																											
Cardiocladius fuscus																							1	7	2					1	5	4		5							5		
Cardiocladius leoni																																											
Chaetocladius acuminatus																																											
Chaetocladius acuticornis																																											
Chaetocladius algericus																																											
Chaetocladius brittae																																											
Chaetocladius conjugens																																											
Chaetocladius crassisaetosus																																											
Chaetocladius dentiforceps																													1	5	4			3				7					
Chaetocladius dissipatus																																		3				7					
Chaetocladius gelidus																																		3				7					
Chaetocladius glacialis																																											
Chaetocladius gracilis																																											
Chaetocladius grandilobus																																											
Chaetocladius holmgreni																																											
Chaetocladius insolitus																																											
Chaetocladius laminatus																																		3				7					
Chaetocladius maeaeri																																											
Chaetocladius melaleucus																											1																
Chaetocladius minutissimus																																		3				7					
Chaetocladius muliebris																																											
Chaetocladius perennis																																		3				7					
Chaetocladius piger																	1													2	6	2		3				7					
Chaetocladius rusticus																																											
Chaetocladius subplumosus																																											
Chaetocladius suecicus																																		3				7					
Chaetocladius tenuistylus																																											
Chaetocladius validus																																											
Chaetocladius vitellinus																														1	5	4		3				7					
Clunio balticus																																											
Clunio marinus																																											
Clunio mediterraneus																																											
Clunio ponticus																																											
Corynoneura arctica																																		7				3					
Corynoneura bifurcata																																											
Corynoneura bitensis																																											
Corynoneura brundini																																											
Corynoneura carriana																																		7				3					
Corynoneura celeripes																																		7				3					
Corynoneura celtica																																		7				3					
Corynoneura coronata																																		7				3					
Corynoneura edwardsi																																		7				3					
Corynoneura fittkaui																																		7				3					
Corynoneura gratias																																		7				3					
Corynoneura gynocera																																											
Corynoneura kiefferi																																											
Corynoneura lacustris																																		7				3					
Corynoneura lobata																						1	3	3	3				1	5	4			4				6					
Corynoneura longipennis																																											
Corynoneura magna																																											
Corynoneura marina																																											
Corynoneura minuscula																																		7				3					
Corynoneura paludosa																																											
Corynoneura Pe 2a																																											
Corynoneura scutellata																						1	4	2	3					4	5	1		7				3					
Corynoneura vulgaris																																											
Cricotopus albiforceps																																		8				2					
Cricotopus algarum																													1	2	4	3		8				2					
Cricotopus annulator																						2	2	3	3					3	5	2		8				2					
Cricotopus arcuatus																																											
Cricotopus beckeri																																											
Cricotopus bicinctus																						1	2	4	3			1		1	4	4	1	6			1	3					
Cricotopus brevipalpis																											1								10								
Cricotopus caducus																																											
Cricotopus claripes																																											
Cricotopus coronata																																											
Cricotopus cumulatus																																											
Cricotopus curtus																						1	2	4	3									8				2					
Cricotopus cylindraceus																															5	5		7				3					
Cricotopus dobrogicus																																		6	1		2	1					
Cricotopus ephippium																																											
Cricotopus festivellus																															5	5		7				3					
Cricotopus flavocinctus																																		8				2					
Cricotopus fuscus																						2	2	3	3				1	2	4	3		6				4					
Cricotopus gelidus																																											
Cricotopus glacialis																																											
Cricotopus intersectus																							1	7	2						5	5		8				2					
Cricotopus laetus																																											
Cricotopus laricomalis																																											
Cricotopus latidentatus																																											
Cricotopus lestralis																																											
Cricotopus levantinus																																											
Cricotopus lygropis																																		10									
Cricotopus magus																																											
Cricotopus nevadensis																																											
Cricotopus obnixus																																											
Cricotopus obtusus																																											
Cricotopus ornatus																											1										5	5					
Cricotopus pallidipes																																											
Cricotopus patens																																		8				2					
Cricotopus Pe 2																																											
Cricotopus perniger																																											
Cricotopus pilicauda																																											
Cricotopus pilidorsum																																											
Cricotopus pilitarsis																																											
Cricotopus pilosellus																																											
Cricotopus pirifer																																		8				2					
Cricotopus polaris																																											
Cricotopus polychaetus																																											
Cricotopus pulchripes																																											
Cricotopus reductus																																											
Cricotopus relucens																																											
Cricotopus reversus																																		8				2					
Cricotopus septentrionalis																																											
Cricotopus similis																							3	5	2					3	4	3		8				2					
Cricotopus speciosus																																											
Cricotopus suspiciosus																																											
Cricotopus sylvestris																							2	6	2						5	4	1	6	1		2	1					
Cricotopus tibialis																																											
Cricotopus tremulus																						3	3	1	3					2	5	3		7			1	2					
Cricotopus triannulatus																	1						1	7	2					1	6	3		7				3					
Cricotopus tricinctus																1																		1	8		1						
Cricotopus trifascia																						1	2	4	3			1		2	5	3		6			1	3					
Cricotopus trifasciatus																				1							1							1	8		1						
Cricotopus tristis																																											
Cricotopus vierriensis																							2	6	2																		
Cricotopus villosus																																											
Cricotopus zavreli																																											
Diplocladius cultriger																						1	2	4	3		1			2	5	3						7	3				
Doncricotopus dentatus																																											
Dratnalia potamophylaxi																																											10
Epoicocladius ephemerae																											1			4	5	1										10	
Eukiefferiella ancyla																																											
Eukiefferiella bedmari																																											
Eukiefferiella boevrensis																																											
Eukiefferiella brehmi																																		8				2					
Eukiefferiella brevicalcar																						1	4	2	3					4	5	1		8				2					
Eukiefferiella claripennis																						1	4	2	3			1			5	5		7				3					
Eukiefferiella clypeata																						1	3	3	3		1			4	4	2		7				3					
Eukiefferiella coerulescens																						2	3	2	3				2	4	3	1		8				2					
Eukiefferiella cyanea																													4	5	1			8				2					
Eukiefferiella devonica																						2	3	2	3					4	5	1		8				2					
Eukiefferiella dittmari																														3	6	1		8				2					
Eukiefferiella fittkaui																													4	4	2			8				2					
Eukiefferiella fuldensis																					1	1	3	1	4				2	5	3			8				2					
Eukiefferiella gracei																							1	7	2					2	7	1		7				3					
Eukiefferiella ilkleyensis																						1	3	3	3					4	5	1		8				2					
Eukiefferiella lobifera																						1	3	3	3					3	7			8				2					
Eukiefferiella minor																						2	4	1	3				2	4	4			8				2					
Eukiefferiella mirabilis																																											
Eukiefferiella pseudomontana																																		8				2					
Eukiefferiella similis																						1	3	3	3				2	4	4			8				2					
Eukiefferiella tirolensis																													2	4	4			8				2					
Eurycnemus crassipes																																										10	
Euryhapsis annuliventris																																											
Euryhapsis cilium																																											
Euryhapsis fuscipropes																																											
Euryhapsis Pe 3																																											
Euryhapsis subviridis																																					5	5					
Georthocladius luteicornis																																											
Georthocladius retezati																																											
Gymnometriocnemus brevitarsis																																											
Gymnometriocnemus brumalis																																											
Gymnometriocnemus subnudus																																											
Gymnometriocnemus terrestris																																											
Gymnometriocnemus volitans																																											
Halocladius braunsi																																											
Halocladius fucicola																																											
Halocladius mediterraneus																																											
Halocladius millenarius																																											
Halocladius variabilis																																											
Halocladius varians																											1							5				5					
Heleniella dorieri																													3	5	2							10					
Heleniella extrema																																											
Heleniella ornaticollis																						2	3	2	3		1		1	6	3							10					
Heleniella serratosioi																													2	5	3							10					
Heterotanytarsus apicalis																												1										9	1				
Heterotanytarsus brundini																																											
Heterotrissocladius changi																																											
Heterotrissocladius grimshawi																																											
Heterotrissocladius maeaeri																																											
Heterotrissocladius marcidus																						3	3	1	3			1	1	5	4							10					
Heterotrissocladius scutellatus																													2	5	3												
Heterotrissocladius subpilosus																																											
Hydrobaenus conformis																																											
Hydrobaenus cranstoni																																											
Hydrobaenus distylus																																											
Hydrobaenus lapponicus																																											
Hydrobaenus lugubris																																											
Hydrobaenus lunzensis																																											
Hydrobaenus martini																																											
Hydrobaenus paucisaeta																																											
Hydrobaenus pilipes																											1							5				5					
Hydrobaenus rufus																																											
Hydrobaenus spinnatis																																											
Krenosmittia boreoalpina																																		2				8					
Krenosmittia camptophleps																						3	3	1	3				2	6	2			2				8					
Krenosmittia halvorseni																																											
Krenosmittia hispanica																																											
Lappokiefferiella platytarsus																																											
Lapposmittia parvibarba																																											
Limnophyes aagaardi																																											
Limnophyes angelicae																																											
Limnophyes asquamatus																																											
Limnophyes bidumus																																											
Limnophyes brachytomus																																											
Limnophyes difficilis																																											
Limnophyes edwardsi																																											
Limnophyes eltoni																																											
Limnophyes er																																											
Limnophyes gurgicola																																											
Limnophyes habilis																																											
Limnophyes inanispatina																																											
Limnophyes italicola																																											
Limnophyes madeirae																																											
Limnophyes minimus																							3	5	2																		
Limnophyes natalensis																															8	2											
Limnophyes ninae																																											
Limnophyes palmensis																																											
Limnophyes paludis																																											
Limnophyes pentaplastus																																											
Limnophyes pentatomus																																											
Limnophyes prolatus																																											
Limnophyes prolongatus																						1	4	2	3				1	5	4												
Limnophyes pumilio																																											
Limnophyes punctipennis																																											
Limnophyes roquehautensis																																											
Limnophyes schnelli																																											
Limnophyes spinigus																																											
Limnophyes torulus																																											
Lindebergia bothnica																																											
Mesocricotopus thienemanni																																											
Mesosmittia flexuella																																											
Metriocnemus acutus																																											
Metriocnemus albolineatus																													3	6	1												
Metriocnemus atriclava																																											
Metriocnemus beringiensis																																											
Metriocnemus bitensis																																											
Metriocnemus brusti																																											
Metriocnemus carmencitabertarum																																											
Metriocnemus cataractarum																																											
Metriocnemus caudigus																																											
Metriocnemus corticalis																																											
Metriocnemus eurynotus																																											
Metriocnemus exilacies																																											
Metriocnemus fuscipes																												1	2	6	2												
Metriocnemus hirticollis																				1									2	6	2							5			5		
Metriocnemus inopinatus																																											
Metriocnemus intergerivus																																											
Metriocnemus lacteolus																																											
Metriocnemus longipennis																																											
Metriocnemus martinii																																											
Metriocnemus pankratovae																																											
Metriocnemus picipes																																											
Metriocnemus terrester																																											
Metriocnemus tristellus																											1																
Metriocnemus ursinus																																											
Molleriella calcarella																																											
Nanocladius anderseni																																											
Nanocladius balticus																											1				6	4						10					
Nanocladius dichromus																							2	6	2					1	6	3		5				5					
Nanocladius distinctus																																											
Nanocladius parvulus																						1	4	2	3				2	8				3				7					
Nanocladius rectinervis																						1	4	2	3		1			2	5	3		3				7					
Nanocladius spiniplenus																																											
Neobrillia longistyla																																											
Oliveridia tricornis																																											
Orthocladiini COP																																											
Orthocladius abiskoensis																																											
Orthocladius almskari																																											
Orthocladius annectens																																											
Orthocladius ashei																						1	3	3	3					3	5	2		7				3					
Orthocladius calvus																																											
Orthocladius carlatus																																											
Orthocladius clarkei																																											
Orthocladius consobrinus																											1							5				5					
Orthocladius decoratus																																											
Orthocladius dentifer																																											
Orthocladius excavatus																						1	2	4	3			1															
Orthocladius frigidus																						4	2	1	3	1				4	6			7			1	2					
Orthocladius fuscimanus																					1	1	3	1	4														10				
Orthocladius gelidorum																																											
Orthocladius gelidus																																											
Orthocladius glabripennis																																		4				6					
Orthocladius halvorseni																																											
Orthocladius holsatus																																											
Orthocladius knabeni																																											
Orthocladius knuthi																																											
Orthocladius lapponicus																																											
Orthocladius lignicola																						2	3	2	3		1		1	4	4	1				10							
Orthocladius lunzensis																																											
Orthocladius luteipes																													2	4	4			8				2					
Orthocladius maius																																											
Orthocladius marchettii																																											
Orthocladius musester																																											
Orthocladius nigritus																																											
Orthocladius nitidoscutellatus																																											
Orthocladius oblidens																							2	6	2			1															
Orthocladius obumbratus																													2	2	3	2	1	4				6					
Orthocladius olivaceus																																							10				
Orthocladius oliveri																																											
Orthocladius pedestris																							2	6	2																		
Orthocladius priomixtus																																											
Orthocladius rhyacobius																												1															
Orthocladius rivicola																						1	2	4	3					3	6	1		8				2					
Orthocladius rivinus																																		4				6					
Orthocladius rivulorum																						1	3	3	3		1		1	3	5	1		9				1					
Orthocladius rubicundus																		1					3	5	2			1	2	2	3	2	1	4				6					
Orthocladius ruffoi																																											
Orthocladius saxosus																													2	5	3			7				3					
Orthocladius schnelli																																											
Orthocladius smolandicus																																											
Orthocladius telochaetus																																											
Orthocladius thienemanni																														3	5	2		7				3					
Orthocladius vaillanti																																											
Orthocladius wetterensis																														2	6	2		4				6					
Parachaetocladius abnobaeus																																											
Paracladius alpicola																																		1				9					
Paracladius conversus																							1	7	2					1	6	3		2				8					
Paracladius quadrinodosus																																											
Paracricotopus niger																							3	5	2					2	7	1		8				2					
Paracricotopus uliginosus																																											
"Parakiefferiella ""spec Kingbeek"""																																											
Parakiefferiella bathophila																							2	6	2		1			2	6	2		2				8					
Parakiefferiella bilobata																																											
Parakiefferiella coronata																																		2				8					
Parakiefferiella dentifera																																		2				8					
Parakiefferiella fennica																																											
Parakiefferiella finnmarkica																																											
Parakiefferiella gracillima																													5	5				2				8					
Parakiefferiella gynocera																																											
Parakiefferiella minuta																																											
Parakiefferiella nigra																																		2				8					
Parakiefferiella Pe 1																																											
Parakiefferiella pyrenaica																																											
Parakiefferiella scandica																																											
Parakiefferiella smolandica																																											
Parakiefferiella subaterrima																																											
Parakiefferiella tenuilobata																																											
Parakiefferiella triquetra																																						10					
Parakiefferiella wuelkeri																																											
Paralimnophyes longiseta																												1										10					
Paralimnophyes trilineatus																																											
Parametriocnemus arciger																																											
Parametriocnemus boreoalpinus																													5	5													
Parametriocnemus eoclivus																																											
Parametriocnemus lundbeckii																																											
Parametriocnemus Pe 1																																											
Parametriocnemus stylatus																					1	1	2	2	4			1	1	3	5	1		2				8					
Parametriocnemus valescurensis																																											
Paraphaenocladius brevinervis																																											
Paraphaenocladius cuneatus																																											
Paraphaenocladius exagitans exagitans																																											
Paraphaenocladius exagitans monticola																																											
Paraphaenocladius impensus contractus																																											
Paraphaenocladius impensus impensus																						1	3	3	3		1		2	5	3							10					
Paraphaenocladius intercedens																																											
Paraphaenocladius irritus																																											
Paraphaenocladius monticola																																											
Paraphaenocladius penerasus																																											
Paraphaenocladius pseudirritus																																											
Parasmittia carinata																																											
Paratrichocladius gayi																																											
Paratrichocladius guidalii																																											
Paratrichocladius lanzavecchiai																																											
Paratrichocladius micans																																											
Paratrichocladius nigritus																																											
Paratrichocladius nivalis																													2	5	3			8				2					
Paratrichocladius osellai																																											
Paratrichocladius pierfrancescoi																																											
Paratrichocladius rufiventris																				1	1	1	1	3	4		1			1	5	4		6				4					
Paratrichocladius skirwithensis																						4	2	1	3			1		2	6	2		7				3					
Paratrichocladius veronicae																														2	6	2		7				3					
Paratrissocladius excerptus																						2	4	1	3					3	6	1						10					
Parorthocladius nudipennis																					2	4	1		3				2	5	3			8				1	1				
Propsilocerus jacuticus																																											
Propsilocerus lacustris																																											
Propsilocerus lusatiensis																																											
Propsilocerus paradoxus																																											
Prosmittia jemtlandica																																											
Prosmittia rectangularis																																											
Psectrocladius barbatipes																																											
Psectrocladius barbimanus																											1																
Psectrocladius bisetus																																											
Psectrocladius borealis																																											
Psectrocladius brehmi																																											
Psectrocladius calcaratus																																											
Psectrocladius delatoris																																											
Psectrocladius dendrophilus																																											
Psectrocladius fabricus																																											
Psectrocladius fennicus																																											
Psectrocladius limbatellus																														3	6	1											
Psectrocladius obvius																																					5	5					
Psectrocladius octomaculatus																																											
Psectrocladius oligosetus																																											
Psectrocladius oxyura																														3	6	1											
Psectrocladius platypus															1													1									5	5					
Psectrocladius polaris																																											
Psectrocladius psilopterus																												1		3	6	1					5	5					
Psectrocladius schlienzi																																											
Psectrocladius simulans																																											
Psectrocladius sokolovae																																											
Psectrocladius sordidellus																														3	6	1											
Psectrocladius ventricosus																																											
Psectrocladius zetterstedti																																											
Pseudorthocladius albiventris																																											
Pseudorthocladius berthelemyi																																											
Pseudorthocladius curtistylus																												1										10					
Pseudorthocladius filiformis																																											
Pseudorthocladius macrovirgatus																																											
Pseudorthocladius pilosipennis																																											
Pseudorthocladius rectangilobus																																											
Pseudosmittia angusta																																											
Pseudosmittia arenaria																											1																
Pseudosmittia azorica																																											
Pseudosmittia baueri																																											
Pseudosmittia brevicornis																																											
Pseudosmittia conjuncta																																											
Pseudosmittia danconai																																											
Pseudosmittia forcipata																																											
Pseudosmittia gracilis																																											
Pseudosmittia hexalobus																																											
Pseudosmittia holsata																																											
Pseudosmittia mathildae																																											
Pseudosmittia montana																																											
Pseudosmittia nanseni																																											
Pseudosmittia neohamata																																											
Pseudosmittia nishiharaensis																																											
Pseudosmittia obtusa																																											
Pseudosmittia oxoniana																																											
Pseudosmittia Pe 2																																											
Pseudosmittia ruttneri																													2	8													
Pseudosmittia simplex																																											
Pseudosmittia subtrilobata																																											
Pseudosmittia terrestris																																											
Pseudosmittia topei																																											
Pseudosmittia trilobata																												1										10					
Pseudosmittia triplex																																											
Pseudosmittia virgo																																											
Pseudosmittia virgomontana																																											
Psilometriocnemus europaeus																																											
Rheocricotopus atripes																							1	7	2		1		2	6	2			5				4	1				
Rheocricotopus chalybeatus																		1				1	2	4	3		1			1	7	2		5				4	1				
Rheocricotopus chapmani																																											
Rheocricotopus effusus																					1	2	2	1	4		1		1	3	5	1		4				5	1				
Rheocricotopus fuscipes																						1	4	2	3		1			1	6	3		3				6	1				
Rheocricotopus gallicus																																											
Rheocricotopus glabricollis																													3	6	1												
Rheocricotopus notabilis																																											
Rheocricotopus reduncus																																											
Rheocricotopus subacutus																																											
Rheocricotopus tirolus																													3	6	1												
Rheosmittia languida																																											
Rheosmittia spinicornis																						2	4	1	3					2	8												
Smittia abiskoensis																																											
Smittia abruzzae																																											
Smittia albipennis																																											
Smittia alpicola																																											
Smittia alpilonga																																											
Smittia amoena																																											
Smittia antelobata																																											
Smittia aterrima																																											
Smittia betuletorum																																											
Smittia brevifurcata																																											
Smittia brevipennis																																											
Smittia celtica																																											
Smittia contingens																																											
Smittia duplicata																																											
Smittia edwardsi																																											
Smittia extrema																																											
Smittia flexinervis																																											
Smittia foliacea																																											
Smittia insignis																																											
Smittia lasiophthalma																																											
Smittia lasiops																																											
Smittia leucopogon																																											
Smittia macrura																																											
Smittia nudipennis																																											
Smittia paranudipennis																																											
Smittia polaris																																											
Smittia pratorum																																											
Smittia reissi																																											
Smittia rostrata																																											
Smittia rupicola																																											
Smittia scutellosetosa																																											
Smittia stercoraria																																											
Smittia superata																																											
Smittia thalassicola																																											
Smittia vesparum																																											
Stackelbergina praeclara																																											
Stilocladius montanus																														5	5			4				6					
Symbiocladius rhithrogenae																		1				4	4		2																	10	
Synorthocladius semivirens																						1	2	4	3			1		2	6	2		4				4	2				
Tavastia australis																																											
Thalassosmittia atlantica																																											
Thalassosmittia thalassophila																																											
Thienemannia fulvofasciata																																											
Thienemannia gracei																													3	6	1												
Thienemannia gracilis																													3	6	1												
Thienemannia libanica																																											
Thienemannia paasivirtai																																											
Thienemannia Pe 2a																																											
Thienemanniella acuticornis																											1		4	4	2			6				4					
Thienemanniella caspersi																																											
Thienemanniella clavicornis																													2	4	4			6				4					
Thienemanniella flavescens																																											
Thienemanniella lutea																																											
Thienemanniella majuscula																																		6				4					
Thienemanniella minuscula																																											
Thienemanniella obscura																							5	3	2				2	4	4			6				4					
Thienemanniella partita																						2	3	2	3				1	5	4			6				4					
Thienemanniella Pe 2a																																											
Thienemanniella Pe 2b																																											
Thienemanniella Pe 3																																											
